tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55082,supply,comp_c,3714.0,3148.0,480,60kg,3931.32,3714.0,3965.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55082,supply,comp_c,4418.0,3744.0,300,r260,4676.82,4418.0,4717.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55082,supply,comp_c,4624.0,3919.0,780,r260cmb,4894.7,4624.0,4937.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55082,execution,comp_c,6149.0,5211.0,320,60kg,6508.19,6149.0,6564.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55082,execution,comp_c,6065.0,5140.0,200,r260,6419.79,6065.0,6475.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55082,execution,comp_c,6271.0,5314.0,570,r260cmb,6637.69,6271.0,6695.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,31
55083,supervision,comp_c,4100.0,3475.0,550,r260,4756.0,4100.0,6596.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,9,1
55083,supervision,comp_c,6082.0,5154.0,600,60kg,7054.74,6082.0,6811.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,9,1
55083,supervision,comp_c,5889.67,4991.0,1240,52kg,6832.18,5889.67,4592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,9,1
55084,supply,comp_b,2288.32,1939.3,3000,r260,2596.22,2673.48,2628.16,2288.32,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,WAT,2023,9,7
55085,supply,comp_b,2278.58,1931.0,500,52kg,0.0,0.0,0.0,2278.58,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,WAT,2023,9,7
55085,supply,comp_b,2322.42,1968.2,600,60kg,0.0,0.0,0.0,2322.42,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,WAT,2023,9,7
55086,supply,comp_a,1998.03,1693.2,580,60kg,1998.03,2315.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,SEE,2023,9,26
55087,supervision,comp_b,2290.0,1940.7,4500,r260,2120.14,2130.37,2641.093,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2023,10,11
55088,supply,comp_b,2474.36,2096.9,500,52kg,2419.38,2581.58,2749.29,2474.36,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2023,10,12
55088,supply,comp_b,2276.25,1929.0,1000,60kg,2685.98,3095.7,4552.5,2276.25,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2023,10,12
55088,supply,comp_b,2444.34,2071.5,1000,r260,2077.7,2770.26,4073.92,2444.34,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2023,10,12
55089,execution,comp_b,3779.0,3202.5,450,52kg,4870.16,4161.12,0.0,3779.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,execution,comp_b,4036.0,3420.3,1300,r260,5273.88,4445.11,0.0,4036.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,execution,comp_b,4091.0,3466.9,350,60kg,5202.54,4506.06,0.0,4091.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,execution,comp_b,4173.0,3536.4,127,r260cmb,5379.11,4595.977,0.0,4173.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,supply,comp_b,2386.0,2022.0,650,52kg,3076.17,2628.31,0.0,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,supply,comp_b,2524.0,2139.0,700,60kg,3253.91,2780.17,0.0,2524.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
